payment_id,status,delivery_time_hours,failure_reason
P000208,Completed,10.0,
P001565,Completed,53.8,
P004331,Failed,,Regulatory Block
P002923,Completed,47.1,
P000657,Completed,67.1,
P002550,Completed,21.7,
P003354,Completed,44.7,
P000244,Completed,14.2,
P003882,Completed,25.5,
P002769,Completed,41.2,
P004392,Completed,7.1,
P003753,completed,52.3,
P001277,Completed,53.7,
P002239,Completed,35.0,
P001064,Completed,25.3,
P003143,Completed,38.9,
P004337,Completed,6.8,
P003660,Completed,32.2,
P004226,Completed,6.4,
P003889,Completed,71.6,
P002348,Completed,28.7,
P003900,Completed,35.8,
P003609,Delayed,93.1,
P000643,Completed,38.9,Invalid Account Details
P001427,Completed,54.5,
P004032,Completed,26.2,
P000030,Completed,8.6,
P001656,Completed,63.7,
P001548,Delayed,184.3,
P000355,Completed,60.0,
P003424,Completed,39.1,
P001652,Completed,33.9,
P003765,Completed,61.4,
P001116,Delayed,53.3,
P000117,Completed,15.5,
P002731,Completed,47.4,
P001278,Completed,50.4,
P003038,Delayed,65.5,
P002175,Completed,54.7,
P001065,Completed,17.0,
P001991,Completed,56.3,
P000115,Completed,8.2,
P001387,Completed,59.9,
P003630,Delayed,94.8,
P002187,Completed,70.6,
P001173,completed,37.3,
P002789,Delayed,75.0,
P004156,Completed,50.3,
P004489,Delayed,238.1,
P003625,Completed,48.7,
P000753,Completed,35.5,
P000676,Completed,58.2,
P003478,Completed,36.0,
P004312,Delayed,175.2,
P003565,Completed,56.5,
P001102,Delayed,165.0,
P001870,Completed,4.8,
P003031,Completed,48.6,
P002570,Completed,61.9,
P002367,Completed,14.3,
P001448,Completed,32.6,
P000863,Completed,3.3,
P003121,Completed,25.8,
P000019,Completed,63.0,
P001858,Failed,,Compliance Hold
P000828,Completed,67.1,
P002529,Completed,47.3,
P004433,Completed,47.9,
P003490,Completed,28.0,
P002833,Completed,35.9,
P002030,Completed,23.7,
P002576,Completed,56.7,
P001129,Delayed,184.3,
P004144,Completed,21.7,
P000714,Completed,60.3,
P001666,Failed,,Network Error
P001878,Failed,,Regulatory Block
P004061,Completed,69.0,
P004310,Completed,50.8,
P000984,Completed,6.9,
P002577,Completed,6.3,
P003664,Completed,64.7,
P000338,Delayed,152.9,
P000912,Completed,24.6,
P002149,Completed,2.7,Network Error
P003405,Completed,8.0,
P002692,Completed,46.4,
P002424,Completed,36.7,
P003464,Completed,58.5,
P000365,Completed,70.0,
P000130,Completed,54.9,
P003255,Completed,69.0,
P002452,Completed,28.2,
P004070,Completed,20.1,
P003278,Delayed,149.6,
P001052,completed,25.3,
P000257,Failed,,Network Error
P001219,Completed,45.0,
P004179,Completed,66.4,
P000609,Delayed,52.3,
P000809,Failed,,Invalid Account Details
P003718,Completed,19.9,
P004403,Completed,70.1,
P003988,Delayed,106.3,
P002110,Completed,53.9,Insufficient Funds
P000527,Completed,20.3,Network Error
P001638,Completed,41.0,
P001547,Completed,57.6,
P002071,Completed,44.2,
P003427,Completed,70.0,
P002261,Completed,34.8,
P004339,Completed,62.7,
P002640,Completed,9.3,
P000932,Completed,15.8,
P002862,Completed,68.9,
P001572,Completed,35.9,
P003193,Completed,67.2,
P003319,Completed,24.0,
P000446,Delayed,134.8,
P001997,Failed,,Compliance Hold
P001456,Completed,37.5,
P003598,Delayed,186.5,
P000098,Completed,12.1,
P000164,Completed,15.5,
P004384,Completed,4.0,
P003432,Completed,38.3,
P004206,Completed,63.4,
P001719,Completed,1.7,Regulatory Block
P002650,Delayed,186.2,
P002496,Completed,6.2,
P000342,Completed,2.5,
P003355,Completed,50.5,
P002784,Completed,36.0,
P002844,Completed,61.5,
P001803,Completed,9.3,
P004496, Completed,52.2,
P002988,Completed,3.1,
P001029,Delayed,93.4,
P001685,Completed,17.8,
P004066,Completed,20.0,
P004446,Completed,58.6,
P001733,Completed,49.4,
P001528,Completed,21.7,
P000396,Completed,40.9,
P001349,Completed,52.1,
P003059,Completed,26.7,
P002172,Completed,18.6,
P002211,Completed,17.6,
P003638,Completed,29.2,
P001811,Delayed,82.8,
P000178,Completed,62.0,
P003425,Completed,66.5,
P003518,Delayed,200.8,
P002245,Delayed,235.4,
P000773,Completed,58.1,
P003306,Completed,29.3,
P001499,Delayed,165.9,
P001555,Completed,7.6,
P003284,Delayed,213.4,
P004258,Completed,51.3,
P001097,Failed,,Network Error
P001959,Completed,42.7,
P000152,Completed,52.8,
P001948,Completed,23.3,
P002313,Completed,24.1,
P001550,Completed,37.5,
P001290,Completed,56.8,
P000734,Completed,16.0,
P003728,Completed,66.4,
P002534,Delayed,233.7,
P000759,Completed,26.8,
P000022,Completed,54.7,
P001648,Completed,,
P002213,Failed,,Compliance Hold
P003741,Failed,,Regulatory Block
P002821,Completed,3.0,
P003244,Failed,,Insufficient Funds
P002666,Delayed,78.9,
P001144,Completed,32.3,
P000325,Completed,45.1,
P002831,Delayed,158.8,
P000028,Completed,62.1,
P000075,Completed,52.4,
P000536,Completed,49.1,
P003495,Completed,36.6,
P003230,Completed,7.0,
P002079,Completed,,
P003997,Completed,19.7,
P000316,Completed,32.1,
P003006,Completed,24.3,
P000829,Failed,,Insufficient Funds
P002530,Completed,51.3,
P004119,Delayed,182.5,
P002340,completed,33.1,
P002330, Completed,59.4,
P000227,Completed,10.4,
P004288,Delayed,149.0,
P000925,Delayed,130.9,
P000331,Completed,48.7,
P000202,Completed,17.1,
P001661,Delayed,137.2,
P003369,Completed,17.9,
P002928,Completed,47.0,
P001045,Failed,,Network Error
P001047,Completed,44.6,
P003754,Delayed,221.6,
P001533,Completed,34.0,
P001161,Completed,24.2,
P003717, Completed,4.9,
P004289,Completed,64.1,
P002968,Completed,49.8,
P001916,Completed,17.4,
P002690,Completed,68.2,
P003304,Delayed,221.2,
P002569,Completed,59.7,
P000010,Completed,39.2,
P001898,Completed,,
P000298,Completed,36.8,
P002481,Delayed,173.7,
P000659,Completed,69.8,
P001425,Completed,22.8,
P002258,Completed,28.6,
P001748,Failed,,Network Error
P002790,Completed,,
P000344,Failed,,Invalid Account Details
P002675,Failed,,Insufficient Funds
P000607,Delayed,215.5,
P002031,Completed,11.7,
P000917,Completed,44.2,Invalid Account Details
P003572,Delayed,101.7,
P004500,Delayed,83.3,
P003017,Completed,3.4,
P000882,Completed,33.5,
P003091,Completed,31.2,
P000119,Failed,,Insufficient Funds
P001103,Completed,14.6,
P004378,Completed,68.5,
P001687,Delayed,94.1,
P001842,Completed,57.7,
P003162,Completed,68.7,
P001049,Completed,67.2,
P000582,Completed,60.4,
P001660,Failed,,Compliance Hold
P002612,Completed,3.8,
P001561,Delayed,162.5,
P001767,Completed,6.1,
P003617,Completed,46.3,
P000725,Completed,56.0,
P004325,Completed,11.5,
P002115,Completed,15.9,
P004357,Completed,5.0,
P004426,Delayed,187.5,
P002777,Completed,59.7,
P001610,Delayed,69.4,
P001924,Completed,71.0,
P002724,Completed,61.3,
P004447,Completed,56.6,
P003036,Completed,,
P003418,Completed,28.1,
P000660,Delayed,72.1,
P002230,Completed,34.9,
P000177,Completed,5.9,
P001313,Completed,1.9,
P000476,Completed,36.4,
P001518,Completed,69.2,
P002867,Completed,32.3,
P002922,Completed,64.5,
P002241,Completed,56.8,
P001216,Completed,59.9,
P003931,Completed,69.8,
P003702,Completed,50.0,
P000189,Completed,1.3,
P001382,Completed,35.6,
P003273,Completed,41.4,
P002648,Failed,,Invalid Account Details
P003487,Completed,54.0,
P001732,Delayed,82.0,
P000743,Failed,,Network Error
P003877,Completed,13.4,
P003097, Completed,5.5,
P003294,Completed,6.5,
P000209,Delayed,57.4,
P004471,Completed,9.0,
P004182,Failed,,Compliance Hold
P000848,Completed,6.4,
P003074,Completed,68.6,
P004011,Completed,9.5,
P003240,Delayed,146.6,
P003788,Delayed,77.6,
P000447,Completed,38.2,
P000558,Delayed,84.6,
P003552,Completed,19.7,
P002325,Completed,4.2,
P000051,Completed,7.7,
P001517,Completed,61.8,
P003116,Completed,14.2,
P000379, Completed,23.1,
P004359,Completed,24.3,
P003272,Completed,65.2,
P002236,Completed,14.7,
P002748,Completed,15.3,
P000020,Completed,30.1,
P002463,Completed,6.7,
P003451,Completed,1.7,
P004136,Delayed,231.0,
P001937,Failed,,
P002774,Completed,7.8,
P004260,Completed,22.0,
P000180,Completed,18.4,
P000793,Completed,43.2,
P004254,Completed,53.4,
P003330,Completed,50.6,
P003769,Failed,,Regulatory Block
P001783,Failed,,Network Error
P003724,Completed,67.3,
P001333,Failed,,Regulatory Block
P003576,Completed,41.1,
P000108,Completed,,
P001334,Completed,5.1,
P003776,Delayed,200.2,
P000266,Completed,33.9,
P002151,Completed,10.1,
P003644,Failed,,Invalid Account Details
P002804,Completed,11.3,
P000865,Completed,,
P003433,Completed,7.5,
P004383,Completed,10.8,
P000798,Completed,14.9,
P001785,Delayed,125.5,
P002644,Completed,35.8,
P002964,Completed,68.5,
P000291,Failed,,Invalid Account Details
P002189,Completed,28.7,
P003202,Delayed,109.3,
P001549,Completed,38.4,
P000706,Completed,15.2,
P002388,Completed,13.8,
P001673,Delayed,136.4,
P001092,Completed,59.7,
P002363,Failed,,Invalid Account Details
P003242, Completed,34.3,
P003219,Delayed,210.8,
P000166,Completed,35.7,
P002486,Completed,54.7,
P000219,Completed,30.2,
P002280,Completed,11.0,
P003947,Completed,56.7,
P000670,Failed,,Network Error
P000262,Completed,57.1,
P004049,Delayed,222.6,
P002630,Completed,22.4,
P000685,Completed,18.3,
P002579,Completed,48.9,
P001605,Delayed,153.8,
P002225,Completed,54.0,
P001820,Completed,64.7,
P003569,Failed,,Compliance Hold
P000081,Completed,55.4,
P001170,Completed,1.8,
P001356,Delayed,50.3,
P000697,Completed,41.5,
P002411,Completed,46.0,
P000085,Completed,58.7,
P001875,Completed,51.6,
P004166,Completed,5.0,
P002741,Completed,49.6,
P001802,Completed,19.9,
P001423,Delayed,154.9,
P003417,Delayed,181.4,
P001964,Delayed,219.0,
P000600,Completed,8.7,
P000534,Completed,28.7,
P001207,Completed,29.9,
P003237,Completed,7.5,
P003029,Completed,16.2,
P001925,Completed,42.8,
P004198,Completed,37.7,
P001399,Completed,-11.6,
P000373,Completed,55.9,
P004345,Completed,47.1,
P003115,Completed,35.0,
P001707,Completed,4.9,
P002449,Completed,25.5,
P000998,Completed,58.3,
P001500,Completed,,
P001391,Completed,2.0,
P001344,Completed,6.4,
P003858,Delayed,68.9,
P004499,Completed,21.1,
P000634,Delayed,145.2,
P000531,Completed,45.8,
P001085,Completed,11.4,
P003009,Completed,64.7,
P001831,Completed,49.5,
P003118,Completed,62.8,
P000886,Completed,36.7,
P000360,Completed,39.6,
P001740,Completed,45.2,
P002541,Completed,18.4,
P000994,Delayed,,
P000733,Completed,48.8,
P000058,Completed,33.6,
P000380,Completed,65.3,
P003588,Completed,24.0,
P001177,Delayed,62.1,
P000890,Completed,6.1,
P001217,Completed,64.4,
P000243,Completed,31.1,
P004176,Completed,13.0,
P004161,Completed,49.3,
P003084,Completed,69.0,
P001990,Completed,59.4,
P000349,Completed,32.4,
P000269,Completed,69.3,
P002715,Completed,61.4,
P000663,Completed,49.0,
P004350,Completed,62.7,
P000170,Completed,64.4,
P001195,Completed,7.3,
P001284,Failed,,Compliance Hold
P002404,Completed,65.5,
P004130,Completed,22.2,
P001239,Completed,20.3,Invalid Account Details
P001931,Completed,63.1,
P001043,Completed,68.1,
P002772,Completed,44.0,
P003337,Completed,46.2,
P004014,Completed,58.8,
P004371,Delayed,158.2,
P002053,Completed,50.8,
P003101,Completed,12.6,Network Error
P004422,Completed,17.2,
P001063,Completed,43.3,
P002545,Completed,49.5,
P003165,Failed,,Network Error
P002470,Completed,42.4,
P000614,Completed,25.5,
P004238,Completed,11.5,
P003365,Completed,60.1,
P004047,Completed,28.8,
P000920,Completed,55.6,
P003067,Completed,49.4,
P003154,Completed,12.7,
P001639,Completed,53.2,
P003562,Completed,50.5,
P001180,Completed,18.6,
P001567,Completed,48.6,
P003946,Completed,63.1,
P002152,Completed,9.6,
P002704,Completed,44.2,
P002054,Completed,61.7,
P004300,Completed,55.8,
P003749,Completed,30.1,
P001337,Failed,,Insufficient Funds
P001252,Delayed,207.8,
P003254,Completed,39.8,
P002976,Completed,59.0,
P000950,Completed,61.7,
P001209,Completed,67.7,
P003577,Completed,17.0,
P002431,Completed,65.7,
P003751,Completed,14.1,
P001381,Completed,,
P000530,Completed,56.3,
P000513,Delayed,188.9,
P002195,Delayed,51.3,
P001716,Completed,66.0,
P001515,Completed,2.9,
P002913,Completed,13.6,
P002614,Completed,28.1,
P001498,Completed,16.0,
P000120,Completed,66.9,
P002432,Completed,69.1,
P002633,Completed,31.3,
P003342,Completed,27.4,
P000238,Completed,11.2,
P000507,Completed,56.3,
P002347,Completed,32.3,
P003382,Delayed,90.7,
P001530,Delayed,219.6,
P001841,Completed,69.1,
P002941,Delayed,216.6,
P003400,Failed,,Compliance Hold
P002836,Completed,56.5,
P002275,Completed,12.2,
P001108,Completed,61.9,
P001361,Completed,55.3,
P001152,Delayed,85.6,
P003052,Completed,44.4,
P001630,Completed,15.9,
P000992,Completed,27.0,
P000934,Completed,4.0,
P000617,Delayed,119.3,
P000816,Completed,9.8,
P002101,Completed,71.5,
P001934,Completed,3.5,
P004354,Failed,,Compliance Hold
P003891,Completed,,
P002118,Completed,30.7,
P003539,Completed,40.0,
P003824,Completed,57.4,
P001711,Completed,59.2,
P004346,Completed,65.0,
P000484,Completed,59.8,
P001671,Completed,60.2,
P000301,Completed,66.8,
P000945,Completed,33.1,
P004093,Completed,31.4,
P004019,Completed,2.4,
P000186,Completed,56.4,
P002095,Completed,28.8,
P001354,Failed,,Insufficient Funds
P000251,Completed,20.3,
P004322,Completed,10.8,
P000455,completed,18.0,
P001088,Completed,53.8,
P004441,Completed,1.9,
P001188,Completed,31.8,
P002129,Completed,64.6,
P001564,Completed,,
P001461,Completed,23.1,Regulatory Block
P003697,Delayed,122.6,Network Error
P001608,Completed,15.8,
P004448,Completed,49.4,
P001444,Completed,44.7,
P001826,Completed,3.4,
P003094,Completed,12.9,
P002453,Completed,1.1,
P001814,Completed,40.1,
P000036,Completed,23.1,
P004236,Completed,29.5,
P003892,Completed,41.3,
P003449,Completed,36.9,
P000194,Completed,7.0,
P001208,Completed,62.5,
P000864,Completed,5.9,
P003740,Completed,48.6,
P000025,Completed,44.1,
P000400,Delayed,125.8,
P003743,Delayed,190.0,
P000695,Completed,2.8,
P000395,Completed,6.7,
P000915,Completed,64.1,
P003770,Completed,56.3,
P003279,Completed,69.2,
P003305,Completed,47.2,
P003992,Completed,48.5,
P003707,Completed,11.6,
P001101,Failed,,Network Error
P001808,Completed,5.5,
P003963,Completed,25.9,
P004417,Completed,27.0,
P003562,Completed,50.5,
P001780,Completed,19.3,
P004005,Completed,24.5,
P001358,Completed,46.7,
P002768,Completed,53.1,
P001171,Completed,48.8,
P001580,Completed,66.3,
P002462,Completed,9.8,
P003268,Completed,66.0,
P002386,Completed,58.4,
P003057,Completed,48.0,
P002131,Completed,62.3,
P000483,Completed,34.2,
P003018,Completed,59.7,
P001260,Completed,17.6,
P001571,Completed,58.4,
P001616,Completed,47.9,
P000437,delayed,198.8,
P003650,Completed,71.3,
P002539,Completed,48.6,
P001629,Completed,19.8,
P003537,Completed,36.8,
P002995,Failed,,Network Error
P003646,Completed,27.4,
P001609,Completed,29.2,
P003906,Completed,10.0,
P001071,Completed,35.9,
P000711,Failed,,Insufficient Funds
P000297,Completed,45.8,
P000750,Completed,48.7,
P001228,Completed,71.6,
P002571,Completed,65.4,
P002384,Completed,21.7,
P000907,Completed,33.1,
P003303,Completed,31.3,
P000136,Completed,7.9,
P003934,Completed,61.6,
P001011,Delayed,185.7,
P000206,Completed,56.1,
P002681,Completed,71.4,
P003054,Completed,1.5,
P000658,Delayed,227.0,
P001150,Completed,12.3,
P004255,Completed,35.0,
P001579,Completed,64.7,
P002000,Delayed,213.4,
P001041,Failed,,Regulatory Block
P003071,Completed,,
P001457,Completed,43.4,
P002116,Completed,62.4,
P000488,Completed,64.1,
P003160,Completed,57.2,
P003575,Completed,46.3,
P002683,Completed,35.9,
P003248,Completed,48.8,
P002859,Completed,24.3,
P004013,Delayed,171.0,
P002824,Completed,45.5,
P004441,Completed,1.9,
P001329,Completed,46.7,
P002603,Delayed,204.6,
P000219,Completed,30.2,
P002945,Failed,,Invalid Account Details
P001904,Delayed,118.2,
P002067,Completed,23.7,
P003661,Completed,67.3,
P003886,Completed,6.6,
P003250,Completed,3.3,
P003359,Delayed,161.1,
P003010,Completed,2.2,
P004285,Completed,53.9,
P003188,Completed,32.9,
P003832,Completed,9.3,
P002153,completed,21.0,
P004327,Completed,59.4,
P003905,Failed,,Compliance Hold
P000073,Completed,11.9,
P002224,Completed,32.3,
P001117,Completed,20.4,
P001915,Completed,65.2,
P004016,Completed,43.3,
P002955,Completed,65.1,
P004401,Completed,58.9,
P002188,Completed,36.1,
P000512,Completed,7.4,
P004219,Completed,38.7,
P002702,Completed,65.5,
P003960,Completed,39.1,
P002967,Completed,49.4,
P001742,Completed,22.2,
P001849,Completed,12.2,
P004044,Completed,20.7,
P003805,Completed,8.7,
P000856,Completed,6.5,
P004099,Completed,57.0,
P002276,Completed,61.8,
P002165,Completed,63.2,
P000057,Completed,31.8,
P004178,Completed,44.3,
P002117,Failed,,Network Error
P003189,Completed,64.5,
P002526,Completed,36.2,
P003613,Completed,56.6,
P002429,Completed,43.2,
P001368,Completed,64.0,
P001424,Completed,63.7,
P003138,Completed,53.5,
P003814,Delayed,68.3,
P000872,Completed,26.8,
P004394,Completed,37.9,
P001977,Completed,-10.3,
P002301,Completed,17.1,
P000314,Failed,,Compliance Hold
P003516,Completed,5.2,
P001617,Completed,9.1,
P000348,Completed,52.1,
P003226,Completed,37.2,
P003072,Failed,,Regulatory Block
P001200,Completed,5.1,
P004134,Failed,,Insufficient Funds
P000517,Completed,35.4,
P002828,Failed,,Network Error
P001598,Delayed,137.0,
P001324,Completed,4.6,
P003140,Failed,,Compliance Hold
P001982,Completed,67.2,
P000650,Completed,7.8,
P002904,Completed,34.6,
P001830,Completed,8.0,
P002994,Completed,48.7,
P000228,Completed,9.1,
P000669,Completed,62.7,
P003293,Delayed,115.7,
P001169,Completed,37.5,
P003406,Delayed,148.6,
P002315,Delayed,73.2,
P003363,Completed,48.4,
P002791, Delayed,53.9,
P000675,Failed,,
P002410,Completed,25.1,
P001877,Completed,5.6,
P002989,Delayed,158.1,
P000375,Failed,,Regulatory Block
P001683,Completed,2.8,
P002366,Delayed,163.1,
P002268,Completed,61.5,
P004121,Failed,,Regulatory Block
P004270,Completed,59.3,
P001861,Completed,31.9,
P001601,Completed,54.3,
P002358,Completed,53.3,
P000504,Delayed,56.2,
P000944,Completed,55.0,
P000514,Completed,71.6,
P000698,Completed,63.8,
P001157,Completed,54.2,
P002985,Completed,8.6,
P001936,Completed,39.0,
P001203,Completed,62.1,
P001265,Completed,54.4,
P000802,Completed,36.8,
P002120,Completed,54.3,
P002104,Completed,50.4,
P003126,Completed,70.5,
P002148,Delayed,131.4,
P003768,Completed,37.8,
P003450,Completed,44.0,
P000392,Completed,19.6,
P000277,Completed,60.9,
P003812,Completed,36.6,
P003093,Completed,66.7,
P000613,Completed,12.9,
P004183,Completed,27.3,
P002899,Completed,57.4,
P002013,Completed,13.3,
P000949,Failed,,Invalid Account Details
P002324,Failed,,Invalid Account Details
P002662,Failed,,Network Error
