rate_id,date,currency_pair,exchange_rate
R002528,2024-11-27,USD/AUD,1.5292
R001209,2024-06-07,USD/AUD,1.4987
R001692,2024-08-09,USD/AUD,1.5128
R002768,2024-12-29,USD/EUR,0.9242
R002572,12/03/2024,USD/INR,81.9948
R002058,2024-09-26,USD/AUD,1.5333
R002264,10/23/2024,EUR/GBP,0.8409
R000808,2024-04-15,USD/CAD,1.3435
R001482,2024-07-13,USD/JPY,147.9463
R002558,2024-12-01,USD/JPY,148.505
R000096,2024-01-13,USD/AUD,
R001459,2024-07-10,USD/INR,84.2731
R002468,2024-11-19,EUR/GBP,0.8503
R002813,2025-01-04,USD/JPY,151.0822
R002610,2024-12-08,USD/CAD,1.3672
R002054,2024-09-26,USD/GBP,0.7776
R000359,2024-02-16,USD/AUD,1.5249
R002838,2025-01-07,EUR/GBP,0.8638
R000670,03/28/2024,USD/CAD,1.3647
R001444,2024-07-08,USD/JPY,146.5742
R000126,2024-01-17,USD/CAD,1.3796
R001594,2024-07-28,USD/EUR,0.9283
R002161,2024-10-09,USD/CNY,7.1002
R002733,2024-12-24,USD_CAD,1.3576
R000984,05/09/2024,USD/JPY,148.4291
R000593,2024-03-18,USD/INR,83.5985
R000673,2024-03-28,USD/CNY,7.1554
R002441,2024-11-16,USD/INR,84.6557
R000315,2024-02-10,USD/AUD,1.5398
R002515,2024-11-25,USD/CNY,7.171
R002365,2024-11-06,USD/INR,82.6765
R000652,2024-03-26,USD/EUR,0.9304
R001764,08/18/2024,EUR/GBP,0.8364
R002741,2024-12-25,usd-cad,1.3556
R000515,2024-03-08,USD/INR,82.7201
R001197,2024-06-06,USD/GBP,0.7798
R002703,2024-12-20,EUR/GBP,0.8671
R000758,2024-04-08,EUR/GBP,0.8516
R001142,2024-05-30,USD/EUR,0.9327
R000428,2024-02-26,USD/EUR,
R001883,2024-09-03,USD/CAD,1.3333
R000514,03/08/2024,USD/GBP,0.7729
R003013,2025-01-31,USD/GBP,0.77
R000741,2024-04-06,USD/AUD,1.492
R000207,2024-01-27,USD/CNY,7.217
R000946,2024-05-04,USD/GBP,0.7717
R001574,2024-07-25,USD/JPY,146.4855
R002956,2025-01-23,USD/CNY,7.3055
R000677,2024-03-29,usd-cad,1.335
R002273,10/24/2024,USD/CNY,7.1315
R001772,2024-08-20,USD/EUR,0.9356
R000457,2024-02-29,EUR/GBP,0.8491
R000376,2024-02-18,USD/CNY,7.1249
R001898,2024-09-05,USD/CAD,1.3716
R000659,2024-03-26,usd-cny,7.1942
R000326,2024-02-12,USD/INR,82.1898
R001616,2024-07-30,EUR/GBP,0.8771
R001103,2024-05-24,EUR/GBP,0.8678
R002981,2025-01-27,USD/EUR,0.9224
R001430,2024-07-06,USD/CAD,1.3463
R001276,2024-06-16,USD/GBP,0.7811
R001926,2024-09-09,USD/GBP,0.7728
R002332,2024-11-01,EUR/GBP,0.8494
R000445,2024-02-28,USD/INR,82.1147
R002481,2024-11-21,USD/JPY,147.6003
R001084,2024-05-22,USD/JPY,151.584
R000475,2024-03-03,USD/GBP,0.7928
R002181,2024-10-12,USD/AUD,1.5171
R002346,2024-11-03,EUR/GBP,0.8593
R000761,04/09/2024,USD/GBP,0.7755
R001959,2024-09-13,USD/AUD,1.5361
R000841,2024-04-20,USD/EUR,0.9195
R000421,2024-02-24,USD/CNY,7.328
R000585,2024-03-17,USD/INR,83.3513
R000960,05/06/2024,USD/EUR,0.9241
R002147,2024-10-08,USD/EUR,0.9053
R000387,2024-02-20,USD/INR,83.4843
R000362,2024-02-17,USD/GBP,0.792
R000691,2024-03-31,USD/INR,82.8997
R002294,2024-10-27,EUR/GBP,0.8431
R000604,2024-03-19,EUR/GBP,0.8615
R001722,2024-08-13,USD/CAD,1.3465
R002516,2024-11-26,USD/EUR,0.923
R002559,2024-12-01,USD/CAD,1.3544
R001125,2024-05-27,USD/CNY,7.2973
R002756,2024-12-27,USD/CAD,1.3439
R002226,2024-10-18,EUR/GBP,0.8612
R003008,2025-01-30,USD/JPY,146.2023
R001163,2024-06-01,USD/AUD,1.4989
R000890,2024-04-26,USD/AUD,1.5369
R000663,2024-03-27,USD/CAD,1.3496
R000705,2024-04-02,USD/GBP,0.7679
R002061,2024-09-27,USD/EUR,0.9278
R001532,2024-07-19,EUR/GBP,0.835
R001219,2024-06-08,USD/CNY,7.12
R002066,2024-09-27,USD/AUD,1.5111
R002119,2024-10-04,USD/INR,81.0681
R002714,12/22/2024,USD/GBP,0.7691
R000469,2024-03-02,USD/JPY,147.7122
R000738,2024-04-06,usd-inr,84.0176
R000849,2024-04-21,USD/EUR,0.9141
R001800,2024-08-23,USD/CAD,1.3503
R001786,2024-08-21,EUR/GBP,0.8376
R000638,2024-03-24,USD/INR,
R000878,2024-04-25,USD/GBP,0.7817
R002959,2025-01-24,USD/INR,84.1448
R002763,2024-12-28,USD/JPY,149.8296
R000768,2024-04-10,USD/EUR,0.9363
R001023,2024-05-14,EUR/GBP,0.8498
R000111,2024-01-15,USD/AUD,1.4908
R000071,2024-01-10,USD/GBP,0.7828
R001746,2024-08-16,USD/CAD,1.3532
R001948,2024-09-12,USD/GBP,0.7798
R000260,2024-02-03,USD/CAD,1.3605
R001904,09/06/2024,USD_INR,83.5075
R002385,2024-11-08,USD/CNY,7.1824
R003037,2025-02-03,USD_JPY,147.9913
R001391,2024-07-01,USD/INR,83.5827
R000035,2024-01-05,USD/CAD,1.3611
R001960,2024-09-13,EUR/GBP,0.8519
R000980,2024-05-08,EUR/GBP,0.8565
R002892,2025-01-14,USD/CNY,7.027
R001760,2024-08-18,USD/INR,84.294
R001171,2024-06-02,EUR/GBP,0.8565
R000413,2024-02-23,USD/CNY,7.0699
R002168,2024-10-10,USD/CNY,7.0897
R000588,2024-03-17,USD/AUD,1.5071
R000031,2024-01-05,USD/EUR,0.9145
R002498,2024-11-23,USD/CAD,1.3462
R000319,2024-02-11,USD/GBP,0.7825
R002774,2024-12-29,EUR/GBP,0.8368
R000119,01/16/2024,USD/AUD,1.5374
R001813,2024-08-25,USD/GBP,0.7926
R000796,2024-04-13,USD/CNY,7.2556
R001378,2024-06-29,USD/CAD,
R000804,2024-04-15,USD/EUR,0.9157
R001699,2024-08-10,USD/CAD,1.3569
R001223,2024-06-09,USD/JPY,149.4412
R001551,2024-07-22,USD/JPY,148.3513
R000297,2024-02-08,USD/JPY,149.8359
R000281,2024-02-06,USD/INR,83.2944
R002534,11/28/2024,USD/JPY,147.1358
R003021,2025-02-01,USD/GBP,0.7894
R001033,2024-05-16,USD/EUR,0.9237
R002954,01/23/2025,USD/AUD,1.5431
R001982,2024-09-16,USD/CAD,1.3314
R000940,2024-05-03,USD/INR,82.7307
R002526,2024-11-27,USD/JPY,149.2168
R001030,2024-05-15,USD/AUD,1.5045
R002805,2025-01-03,USD/INR,83.1206
R000080,2024-01-11,USD/CAD,1.3232
R001759,2024-08-18,USD/GBP,0.7926
R001239,2024-06-11,USD/JPY,149.3449
R001546,2024-07-21,EUR/GBP,0.854
R001154,2024-05-31,USD/CAD,1.3321
R002097,2024-10-01,USD/CAD,1.3591
R001766,2024-08-19,USD/GBP,0.7734
R000770,2024-04-10,USD/JPY,151.1915
R001163,2024-06-01,USD/AUD,1.4989
R001303,2024-06-19,USD/AUD,1.5173
R001964,2024-09-14,USD/INR,83.7368
R002604,2024-12-07,EUR/GBP,0.8399
R000204,2024-01-27,USD/JPY,150.0649
R000420,2024-02-24,EUR/GBP,
R000537,2024-03-11,USD/EUR,0.9121
R002721,2024-12-23,USD/EUR,0.938
R000357,2024-02-16,USD/JPY,148.4725
R000187,2024-01-25,USD/GBP,0.7837
R002845,2025-01-08,EUR/GBP,0.8518
R001938,2024-09-10,EUR/GBP,0.854
R001366,2024-06-28,USD/EUR,0.9185
R000562,2024-03-14,USD/INR,84.9267
R002343,2024-11-03,USD/INR,83.6094
R002624,12/10/2024,USD/INR,84.3735
R000430,2024-02-26,USD/INR,81.7367
R001743,2024-08-16,USD/GBP,0.7805
R002324,2024-10-31,EUR/GBP,0.8642
R001683,2024-08-08,USD/CAD,1.3378
R001765,08/19/2024,USD/EUR,0.9177
R001778,2024-08-20,EUR/GBP,0.8497
R000173,2024-01-23,USD/JPY,148.3855
R002630,12/11/2024,USD/GBP,0.7763
R002583,2024-12-04,EUR/GBP,0.8495
R001762,2024-08-18,USD/CAD,1.36
R001484,2024-07-13,USD/AUD,1.5139
R000427,2024-02-25,USD/CNY,7.1107
R002746,2024-12-26,USD/GBP,0.7777
R001548,2024-07-22,USD/EUR,0.9228
R000842,2024-04-20,USD/GBP,0.7853
R001752,2024-08-17,USD/INR,83.764
R002729,2024-12-24,USD/EUR,0.9132
R000191,2024-01-25,USD/AUD,1.5132
R002085,2024-09-30,USD/EUR,0.9149
R000417,2024-02-24,USD/JPY,150.8035
R001887,2024-09-04,USD/EUR,0.9126
R001390,2024-07-01,USD/GBP,0.7741
R000856,2024-04-22,USD/EUR,0.9147
R002443,2024-11-16,USD_CAD,1.3326
R002069,2024-09-28,USD/EUR,0.9331
R000003,2024-01-01,USD/INR,83.7389
R001618,2024-07-31,USD/EUR,0.9131
R000306,2024-02-09,USD/CAD,1.3516
R000833,2024-04-19,USD/EUR,0.9108
R000948,2024-05-04,USD/CAD,1.3407
R001807,2024-08-24,USD/JPY,148.8967
R002814,2025-01-04,USD/CAD,1.3457
R002932,2025-01-20,USD/JPY,147.8235
R001268,2024-06-15,USD/EUR,0.9117
R002469,2024-11-19,USD/CNY,7.2291
R002962,2025-01-24,USD/AUD,1.5107
R001085,2024-05-22,USD/CAD,1.3552
R002946,2025-01-22,USD/JPY,146.7957
R000702,2024-04-01,EUR/GBP,0.8589
R001823,2024-08-26,USD/CAD,1.347
R002550,2024-11-30,USD/JPY,151.6013
R002907,2025-01-17,USD/EUR,0.9162
R000632,2024-03-23,USD/CAD,1.3706
R002601,2024-12-07,USD/JPY,145.7133
R002102,2024-10-02,USD/GBP,0.773
R002592,2024-12-06,USD/EUR,0.9158
R002902,2025-01-16,USD/INR,82.847
R002082,2024-09-29,USD/AUD,1.5291
R001298,2024-06-19,USD/EUR,0.9173
R001079,2024-05-21,EUR/GBP,0.8628
R002169,2024-10-11,USD/GBP,0.7782
R001494,2024-07-14,USD/CNY,7.1933
R000279,2024-02-06,USD/EUR,0.9206
R000152,2024-01-20,EUR/GBP,0.8529
R001676,2024-08-07,USD/AUD,1.5151
R003007,2025-01-30,USD/INR,83.6044
R000700,2024-04-01,USD/CAD,1.3475
R000972,2024-05-07,EUR/GBP,0.8442
R000944,2024-05-03,USD/CNY,7.1729
R002921,2025-01-18,USD/CNY,7.1284
R001359,2024-06-27,USD_GBP,0.7685
R002414,2024-11-12,EUR/GBP,0.8422
R002664,2024-12-15,EUR/GBP,0.8419
R000373,2024-02-18,USD/CAD,1.3696
R002242,2024-10-20,USD/CNY,7.222
R000929,05/01/2024,USD/AUD,1.5438
R000143,2024-01-19,USD/AUD,1.4956
R000936,2024-05-02,EUR/GBP,0.8457
R002859,2025-01-10,USD/AUD,1.5379
R000100,2024-01-14,USD/GBP,0.7782
R002970,2025-01-25,USD/AUD,1.5241
R001620,2024-07-31,USD/INR,84.1555
R001871,2024-09-01,EUR/GBP,0.8406
R000993,2024-05-10,USD/CAD,1.3467
R000751,2024-04-07,USD/CNY,7.1137
R002025,2024-09-22,USD/INR,80.6878
R001449,2024-07-09,USD/EUR,0.9314
R000737,2024-04-06,USD/GBP,0.782
R001843,2024-08-29,USD/EUR,0.915
R001299,2024-06-19,USD/GBP,0.7821
R002865,2025-01-11,USD/JPY,149.1068
R002302,2024-10-28,EUR/GBP,0.8415
R001124,2024-05-27,EUR/GBP,0.8403
R000341,2024-02-14,USD/INR,82.5159
R000855,2024-04-21,USD/CNY,7.282
R001063,2024-05-19,EUR/GBP,0.8598
R002396,2024-11-10,USD/JPY,146.3473
R002854,2025-01-09,USD/CNY,7.1958
R001934,2024-09-10,USD/INR,83.1119
R000037,2024-01-05,EUR/GBP,0.8518
R000865,2024-04-23,usd-inr,82.6902
R002201,2024-10-15,USD/INR,84.7012
R002617,2024-12-09,USD/JPY,147.4098
R001705,2024-08-11,USD/INR,83.541
R001353,2024-06-26,USD/JPY,149.3041
R001719,2024-08-13,USD/GBP,0.7855
R000891,2024-04-26,EUR/GBP,0.857
R000451,2024-02-29,USD/EUR,0.9194
R001529,2024-07-19,USD/JPY,147.7741
R001429,2024-07-06,USD/JPY,148.1714
R001779,2024-08-20,USD/CNY,7.1492
R000613,2024-03-20,USD/CNY,7.2001
R002910,2025-01-17,USD/JPY,150.3669
R002884,2025-01-13,USD/CNY,7.2129
R002654,2024-12-14,USD/CAD,1.3639
R002411,2024-11-12,USD/JPY,149.7159
R002830,2025-01-06,EUR/GBP,0.8469
R001716,2024-08-12,EUR/GBP,0.8492
R001431,2024-07-06,USD/AUD,1.5247
R001229,2024-06-10,USD/GBP,0.7875
R001325,2024-06-22,USD/CAD,1.3509
R001780,2024-08-21,USD/EUR,0.9136
R002754,2024-12-27,USD/GBP,0.7788
R000072,2024-01-10,USD/INR,84.4796
R002545,2024-11-29,EUR/GBP,0.8706
R002522,2024-11-26,EUR/GBP,0.8754
R002908,2025-01-17,USD/GBP,0.7712
R002988,2025-01-27,USD/CNY,7.1867
R001654,2024-08-04,EUR/GBP,0.847
R002720,2024-12-22,USD/CNY,7.1889
R002986,2025-01-27,USD/AUD,1.5054
R000179,2024-01-24,USD/GBP,0.7779
R001596,07/28/2024,USD/INR,82.3599
R002179,2024-10-12,USD/JPY,151.5051
R000415,2024-02-24,USD/GBP,0.7826
R000441,2024-02-27,eur-gbp,0.8533
R000774,2024-04-10,USD/CNY,7.2498
R000898,2024-04-27,USD/AUD,1.5222
R001168,2024-06-02,USD/JPY,149.3374
R000858,2024-04-22,USD/JPY,149.2001
R000088,2024-01-12,USD/AUD,1.525
R001635,2024-08-02,USD/GBP,0.7774
R002143,2024-10-07,USD/JPY,148.7574
R002435,2024-11-15,USD/CAD,1.353
R001180,2024-06-03,USD/CNY,7.1008
R002928,2025-01-19,USD/CNY,7.1954
R002329,2024-11-01,USD/JPY,149.5329
R001648,2024-08-03,USD/CNY,7.2508
R002919,2025-01-18,USD/AUD,1.5215
R001988,2024-09-17,USD/INR,83.6295
R002789,2025-01-01,USD/EUR,0.9158
R002080,2024-09-29,USD/JPY,147.8315
R000583,2024-03-16,USD/CNY,7.2254
R001445,2024-07-08,USD/CAD,1.3554
R001437,2024-07-07,USD/CAD,1.3466
R001854,2024-08-30,USD/JPY,149.8649
R001147,2024-05-30,USD/AUD,1.5033
R003032,2025-02-02,EUR/GBP,0.8444
R001947,2024-09-12,USD/EUR,0.9235
R001939,2024-09-10,USD_CNY,7.258
R002255,2024-10-22,USD/CAD,1.3331
R002001,2024-09-19,USD/GBP,0.7747
R001435,2024-07-07,USD/INR,83.061
R002038,2024-09-24,USD/EUR,0.9153
R001534,2024-07-20,USD/EUR,0.9186
R000227,01/30/2024,USD/JPY,148.5955
R001597,2024-07-28,USD/JPY,149.4194
R000802,2024-04-14,EUR/GBP,0.8456
R000401,2024-02-22,USD/INR,81.8734
R000834,2024-04-19,USD/GBP,0.774
R001348,2024-06-25,USD/AUD,1.5342
R002236,2024-10-20,USD/EUR,0.9267
R000667,2024-03-28,USD/EUR,0.9177
R001328,2024-06-22,USD/CNY,7.1697
R001145,2024-05-30,USD/JPY,148.243
R002762,2024-12-28,USD_INR,82.5308
R001853,08/30/2024,USD/INR,82.2069
R003016,2025-01-31,USD/CAD,1.364
R002827,2025-01-06,USD/JPY,150.3516
R002336,2024-11-02,USD/JPY,149.3542
R001471,2024-07-12,USD/EUR,0.931
R001376,2024-06-29,USD/INR,83.0258
R000339,2024-02-14,USD/EUR,0.9238
R000027,2024-01-04,USD/CAD,1.3345
R001817,2024-08-25,USD/AUD,1.4873
R002991,2025-01-28,USD/INR,84.4616
R000025,01/04/2024,USD/GBP,0.7758
R002715,2024-12-22,USD/INR,83.5059
R000747,2024-04-07,USD/JPY,148.7773
R001386,2024-06-30,USD/AUD,1.5245
R000001,2024-01-01,USD/EUR,0.9246
R001442,2024-07-08,USD/GBP,0.7892
R000581,2024-03-16,USD/AUD,1.5251
R001105,2024-05-25,USD/GBP,0.7886
R000061,2024-01-08,USD/CNY,7.1456
R001287,2024-06-17,USD/CAD,1.3252
R000998,2024-05-11,USD/GBP,
R001734,2024-08-15,USD/EUR,0.9172
R003034,2025-02-03,USD/EUR,0.911
R001724,2024-08-13,EUR/GBP,0.8552
R000753,2024-04-08,USD/GBP,0.7724
R000644,2024-03-25,USD/EUR,0.9062
R001875,2024-09-02,USD/INR,84.2902
R000434,2024-02-26,EUR/GBP,0.8561
R001294,2024-06-18,USD/JPY,149.7452
R001609,2024-07-29,USD/CNY,7.2032
R000708,2024-04-02,USD/CAD,1.3737
R001190,2024-06-05,USD/INR,82.3943
R002310,10/29/2024,EUR/GBP,0.8575
R002446,2024-11-16,USD/CNY,7.1989
R000424,2024-02-25,USD/CAD,1.3631
R000242,2024-02-01,USD/INR,83.1045
R002812,01/04/2025,USD/GBP,0.775
R002542,2024-11-29,USD/JPY,146.6311
R000735,2024-04-05,USD/CNY,7.2539
R000132,2024-01-18,USD/INR,83.257
R000692,2024-03-31,USD/JPY,150.2216
R002974,2025-01-26,USD_GBP,0.7955
R000749,2024-04-07,usd-aud,1.5107
R000195,2024-01-26,USD/GBP,0.7814
R000486,2024-03-04,USD/CAD,1.3308
R002265,2024-10-23,USD/CNY,7.2288
R002291,2024-10-27,USD/INR,84.6468
R000503,2024-03-06,EUR/GBP,0.8381
R001972,2024-09-15,USD/INR,80.7536
R000171,2024-01-23,USD/GBP,0.7731
R001538,2024-07-20,EUR/GBP,0.8455
R001321,2024-06-22,USD/EUR,0.9205
R002529,2024-11-27,EUR/GBP,0.8675
R002673,2024-12-16,USD/CNY,7.1987
R001380,2024-06-29,EUR/GBP,0.8655
R000641,2024-03-24,USD/AUD,1.5149
R000220,2024-01-29,USD/CAD,1.3511
R002961,2025-01-24,USD/CAD,1.3389
R002730,2024-12-24,USD/GBP,0.7762
R002301,2024-10-28,USD/AUD,1.536
R001826,2024-08-26,USD/CNY,7.2117
R001698,08/10/2024,USD/JPY,147.4935
R001525,2024-07-18,USD/CNY,7.1533
R002086,2024-09-30,USD/GBP,0.7705
R002700,2024-12-20,USD/JPY,150.4735
R001433,2024-07-07,USD/EUR,0.9279
R000268,2024-02-04,USD/CAD,1.3307
R002533,2024-11-28,USD/INR,83.6622
R001194,2024-06-05,EUR/GBP,0.8527
R002491,2024-11-22,USD/AUD,1.5198
R001228,2024-06-10,USD/EUR,0.9186
R001417,2024-07-04,EUR/GBP,0.8505
R001313,2024-06-21,USD/EUR,0.9328
R001731,2024-08-14,USD/AUD,1.5166
R000825,2024-04-17,usd-cny,7.148
R001565,2024-07-24,USD/INR,83.8131
R001062,2024-05-19,USD/AUD,1.4767
R000540,2024-03-11,USD/JPY,147.6433
R002504,2024-11-24,USD/INR,82.6906
R002876,2025-01-12,EUR/GBP,0.8423
R002815,2025-01-04,USD/AUD,1.5479
R002644,2024-12-13,USD/GBP,0.7749
R000254,2024-02-02,EUR/GBP,0.8588
R001539,2024-07-20,USD/CNY,
R002936,2025-01-20,USD/CNY,7.2857
R000296,2024-02-08,USD/INR,82.6235
R001415,2024-07-04,USD/CAD,1.3413
R002036,2024-09-23,EUR/GBP,0.8735
R002019,2024-09-21,USD/CAD,1.3586
R002092,2024-09-30,USD/CNY,7.2016
R000524,03/09/2024,USD/JPY,149.3473
R002183,2024-10-12,USD/CNY,7.167
R000528,2024-03-09,USD/CNY,7.1835
R002100,2024-10-01,USD/CNY,7.2387
R002072,2024-09-28,usd-jpy,150.3357
R000329,2024-02-12,USD/AUD,1.5295
R000271,2024-02-04,USD/CNY,7.2835
R000892,2024-04-26,USD/CNY,7.2164
R000302,2024-02-09,USD/EUR,0.9148
R000366,2024-02-17,USD/AUD,1.5139
R000633,2024-03-23,USD/AUD,1.5176
R000620,2024-03-21,EUR/GBP,0.8519
R000527,2024-03-09,EUR/GBP,0.8362
R002224,2024-10-18,USD/CAD,1.3476
R001643,2024-08-03,USD/GBP,0.7794
R000685,2024-03-30,USD/CAD,1.3335
R000569,2024-03-15,USD/GBP,0.7654
R000192,2024-01-25,EUR/GBP,0.8573
R002354,2024-11-04,EUR/GBP,0.8384
R002821,2025-01-05,USD/CAD,1.3462
R000375,2024-02-18,EUR/GBP,0.8683
R002987,2025-01-27,EUR/GBP,0.849
R001128,2024-05-28,USD/INR,82.5724
R000292,2024-02-07,EUR/GBP,0.8458
R001352,2024-06-26,USD/INR,81.7008
R002817,2025-01-04,USD/CNY,7.2146
R001472,2024-07-12,USD/GBP,0.7752
R001166,2024-06-02,USD/GBP,0.799
R000839,2024-04-19,EUR/GBP,0.8584
R001097,2024-05-24,USD/EUR,0.9207
R001203,2024-06-06,USD/CNY,7.1888
R000846,2024-04-20,USD/AUD,1.5275
R000597,2024-03-18,EUR/GBP,0.8477
R001956,2024-09-13,USD/GBP,0.7907
R001164,2024-06-01,EUR/GBP,0.836
R000695,2024-03-31,EUR/GBP,0.855
R002235,2024-10-19,USD/CNY,7.093
R000180,2024-01-24,USD/INR,85.4632
R000733,04/05/2024,USD/AUD,1.5262
R001424,2024-07-05,USD/AUD,1.5072
R001831,2024-08-27,USD/CAD,1.3596
R000489,2024-03-05,USD/EUR,0.9355
R001741,2024-08-15,USD/CNY,7.1725
R001545,2024-07-21,USD/AUD,1.5108
R000052,2024-01-07,USD/AUD,1.5141
R002212,2024-10-16,EUR/GBP,0.8551
R000893,2024-04-27,usd-eur,0.9298
R001510,2024-07-17,USD/EUR,0.9336
R000752,2024-04-08,USD/EUR,0.9076
R000064,2024-01-09,USD/INR,82.2048
R000986,2024-05-09,USD/AUD,1.5024
R001252,2024-06-13,USD/EUR,0.9277
R002708,2024-12-21,USD/JPY,148.5355
R002544,2024-11-29,USD/AUD,1.5153
R000211,2024-01-28,USD/JPY,149.3478
R000922,2024-04-30,usd-aud,1.5044
R000820,04/17/2024,USD/GBP,0.7883
R000675,2024-03-29,USD/GBP,0.769
R002722,2024-12-23,USD/GBP,0.7761
R001865,2024-08-31,EUR/GBP,0.8611
R000859,04/22/2024,USD/CAD,1.3425
R002012,2024-09-20,USD/AUD,1.5084
R001087,2024-05-22,EUR/GBP,0.8588
R000340,2024-02-14,USD/GBP,0.7756
R002073,2024-09-28,USD/CAD,1.3512
R000853,2024-04-21,USD/CAD,1.3414
R001748,2024-08-16,EUR/GBP,0.8543
R002221,2024-10-18,USD/GBP,0.7772
R001410,2024-07-03,EUR/GBP,0.8479
R002386,2024-11-09,USD/GBP,0.7741
R002619,2024-12-09,USD/AUD,1.527
R001725,2024-08-13,USD/CNY,7.1128
R000962,2024-05-06,USD/JPY,150.4738
R001916,2024-09-07,eur-gbp,0.8454
R002046,09/25/2024,USD/EUR,0.9303
R002099,2024-10-01,EUR/GBP,0.8368
R002689,2024-12-19,USD/EUR,0.927
R002465,2024-11-19,USD/INR,83.9231
R002672,2024-12-16,EUR/GBP,0.8549
R001978,09/16/2024,USD/EUR,0.9287
R000355,2024-02-16,USD/GBP,0.7799
R002816,2025-01-04,EUR_GBP,0.8569
R000896,2024-04-27,USD/JPY,149.4633
R000736,2024-04-06,USD/EUR,0.9243
R002520,11/26/2024,usd-cad,1.3385
R000864,2024-04-23,usd-gbp,0.794
R002158,2024-10-09,USD/CAD,1.3457
R002281,2024-10-25,USD/CNY,7.0561
R000059,2024-01-08,USD/CAD,1.3545
R001927,2024-09-09,USD/INR,81.0948
R002078,2024-09-29,USD/GBP,0.7894
R002311,2024-10-30,USD/EUR,0.917
R002692,2024-12-19,USD/JPY,148.1375
R000215,2024-01-28,USD/CNY,7.1574
R000978,2024-05-08,USD/CAD,1.3173
R001632,2024-08-01,EUR/GBP,0.8428
R001181,2024-06-04,USD/EUR,0.9217
R002518,2024-11-26,USD/INR,81.3535
R001078,05/21/2024,USD/AUD,1.5135
R001326,2024-06-22,USD/AUD,1.49
R000805,2024-04-15,USD/GBP,0.7766
R000454,2024-02-29,USD/JPY,149.2485
R001691,2024-08-09,USD/CAD,1.3579
R002287,2024-10-26,USD/AUD,1.5319
R001253,2024-06-13,USD/GBP,0.7644
R000214,2024-01-28,EUR/GBP,0.8555
R002305,2024-10-29,USD/GBP,0.7956
